fecha_consulta,fondo,tipo_documento,archivo_destino,estado
2026-05-17T12:29:17.738397,HSBCBAL BFP,Prospecto,Archivos\HSBC\HSBCBAL BFP\HSBCBAL BFP_Prospecto_20260517.pdf,Exito
2026-05-17T12:29:17.738401,HSBCBAL BFP,DICI,Archivos\HSBC\HSBCBAL BFP\HSBCBAL BFP_DICI_20260517.pdf,Exito
2026-05-17T12:31:31.061665,HSBCDGP BIX,Prospecto,Archivos\HSBC\HSBCDGP BIX\HSBCDGP BIX_Prospecto_20260517.pdf,Exito
2026-05-17T12:31:31.061672,HSBCDGP BIX,DICI,Archivos\HSBC\HSBCDGP BIX\HSBCDGP BIX_DICI_20260517.pdf,Exito
2026-05-17T12:31:37.145266,HSBCDGP BFS,Prospecto,Archivos\HSBC\HSBCDGP BFS\HSBCDGP BFS_Prospecto_20260517.pdf,Exito
2026-05-17T12:31:37.145270,HSBCDGP BFS,DICI,Archivos\HSBC\HSBCDGP BFS\HSBCDGP BFS_DICI_20260517.pdf,Exito
2026-05-17T12:31:43.846112,HSBGOB2 BIE1,Prospecto,Archivos\HSBC\HSBGOB2 BIE1\HSBGOB2 BIE1_Prospecto_20260517.pdf,Exito
2026-05-17T12:31:43.846148,HSBGOB2 BIE1,DICI,Archivos\HSBC\HSBGOB2 BIE1\HSBGOB2 BIE1_DICI_20260517.pdf,Exito
2026-05-17T12:31:49.903334,HSBCMDL BFP,Prospecto,Archivos\HSBC\HSBCMDL BFP\HSBCMDL BFP_Prospecto_20260517.pdf,Exito
2026-05-17T12:31:49.903338,HSBCMDL BFP,DICI,Archivos\HSBC\HSBCMDL BFP\HSBCMDL BFP_DICI_20260517.pdf,Exito
2026-05-17T12:31:55.469822,HSBCDGP BFV,Prospecto,Archivos\HSBC\HSBCDGP BFV\HSBCDGP BFV_Prospecto_20260517.pdf,Exito
2026-05-17T12:31:55.469827,HSBCDGP BFV,DICI,Archivos\HSBC\HSBCDGP BFV\HSBCDGP BFV_DICI_20260517.pdf,Exito
2026-05-17T12:32:02.788104,HSBCGLE BFA,Prospecto,Archivos\HSBC\HSBCGLE BFA\HSBCGLE BFA_Prospecto_20260517.pdf,Exito
2026-05-17T12:32:02.788108,HSBCGLE BFA,DICI,Archivos\HSBC\HSBCGLE BFA\HSBCGLE BFA_DICI_20260517.pdf,Exito
2026-05-17T12:32:08.749088,HSBGOB2 BIE2,Prospecto,Archivos\HSBC\HSBGOB2 BIE2\HSBGOB2 BIE2_Prospecto_20260517.pdf,Exito
2026-05-17T12:32:08.749094,HSBGOB2 BIE2,DICI,Archivos\HSBC\HSBGOB2 BIE2\HSBGOB2 BIE2_DICI_20260517.pdf,Exito
2026-05-17T12:32:15.326165,HSBCPRA BFE,Prospecto,Archivos\HSBC\HSBCPRA BFE\HSBCPRA BFE_Prospecto_20260517.pdf,Exito
2026-05-17T12:32:15.326169,HSBCPRA BFE,DICI,Archivos\HSBC\HSBCPRA BFE\HSBCPRA BFE_DICI_20260517.pdf,Exito
